Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Ferrigno Les Belles de Marseille Mackerel Fillets with Pepper and Chili,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,?,1040,?,Per 100g,,
Ferrigno Les Belles de Marseille Sardines à l’huile d’olive vierge extra (Sardines in Extra Virgin Olive Oil),7,Extra Virgin Olive Oil,Sardine,Sardina Pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno Les Belles de Marseille Sardines au Pastis,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
"Ferrigno Les Belles de Marseille Sardines au Pescadou (Stewed in Lemon, Garlic, Parsley)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115,4,No,No,Yes,Yes,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno Les Belles de Marseille Vintage Sardines (2016),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno Les Belles de Marseille Vintage Sardines (2017),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115,5,No,No,No,No,No,No,No,No,No,None,?,851,?,Per 100g,,
Ferrigno Les Belles de Marseille Vintage Sardines (2018),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115,6,No,No,No,No,No,No,No,No,No,None,?,852,?,Per 100g,,
Flower Moroccan Sardines in Tomato Sauce,3.5,Soybean Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,Tomato,No,No,Unstated,124,4.38,No,No,No,No,No,Yes,No,No,No,None,1,500,22,,,
Flower Moroccan Spiced Sardines,3.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,"Spiced/Spicy Chili Pepper, Cucumber, Carrot",No,No,Unstated,124,4.38,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,,
Groix & Nature Crab Rillettes,10.5,None,Crab,Cancer pagurus,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,No,No,No,Yes,Yes,No,None,2,230,9,,,
Groix & Nature Indian Tuna Rillettes,10,None,"Tuna, albacore",Thunnus alalunga,France,Groix & Nature,Yes,No,"liquid cream, pollock, water, wheat flour, milk proteins and lactose, salt, curry (coriander, turmeric, mustard, chickpea flour, dehydrated onion, paprika, nutmeg, cumin, black pepper, chilli, garlic, fenugreek, fennel, cloves, cardamom, salt), shallots, garlic, Espelette pepper",NA,NA,NA,100,3.5,No,No,No,Yes,Yes,No,Yes,Yes,No,None,,,,,,
Groix & Nature Lobster Oil,22,Grapeseed Oil,Lobster ,Hamarus gammarus,France,Groix & Nature,Yes,No,Lobster Oil,NA,NA,NA,100ml,3.38,No,No,No,Yes,No,No,No,No,No,None,7,0,,,,
Groix & Nature Lobster Rillettes with Kari Gosse,16.5,Butter,"Lobster, Pollack, Scallop",Homarus gammarus,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,Yes,No,No,Yes,Yes,No,None,2,240,10,,,
Groix & Nature Salmon Rillettes,10.5,None,Salmon,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,No,No,No,Yes,Yes,No,None,2,180,8,,,
Groix & Nature Sardine Rillettes with Piment d'Espelette,9.5,Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Piment d'Espelette,NA,NA,NA,100,3.5,No,No,No,No,No,No,Yes,Yes,No,None,2,170,7,,,
Groix & Nature Sardines in Extra Virgin Olive Oil,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1,1000,?,,,
Groix & Nature Sardines with Lobster Oil,15.5,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,"Lobster, shallots, carrot, garlic",No,No,Unstated,115,4,No,No,No,Yes,No,No,No,No,No,None,2,35,?,,,
Groix & Nature Sardines with Seaweed Oil,15,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Seaweed,No,No,Unstated,115,4,No,No,No,No,No,No,No,Maybe,No,None,1.5,150,?,,,
Groix & Nature Scallop Rillettes,12.5,None,Scallop,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,No,No,No,Yes,Yes,No,None,2,230,9,,,
Groix & Nature Seaweed Tartare with Capers and Pickles,10.5,Water/Vinegar,None,,France,Groix & Nature,Yes,No,Seaweed,NA,NA,NA,110,3.5,No,No,No,Yes,No,No,No,No,No,None,,,,,,
Groix & Nature Smoked Mackerel Rillettes,8.5,None,Mackerel,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,Yes,No,No,No,No,No,Yes,Yes,No,None,2,250,10,,,
Groix & Nature Trout Rillettes from Brittany,10,None,Trout,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,No,No,No,Yes,Yes,No,None,2,210,9,,,
Groix & Nature White Tuna Rillettes,10.5,None,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,France,Groix & Nature,Yes,No,None,NA,NA,NA,100,3.5,No,No,No,Yes,No,No,Yes,Yes,No,None,2,160,7,,,
Güeyu Mar Chargrilled Albacore Tuna Pâté,15,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68,2.4,No,Yes,No,No,No,No,No,No,No,None,3,500,22,,,
Güeyu Mar Chargrilled Bluefin Tuna Pâté,15,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68,2.4,No, Yes,No,No,No,No,No,No,No,None,4,420,18,,,
Güeyu Mar Chargrilled Bonito del Norte (Bonito a la Brasa),26,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150,5.3,No,Yes,No,No,No,No,No,No,No,None,1,340,15,,,
Güeyu Mar Chargrilled Medium Mussels 14-16 (Mejillones a la Brasa),21,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Güeyu Mar,Yes,No,Escabeche,NA,NA,14/16,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,510,22,,,
Güeyu Mar Chargrilled Octopus (Pulpo a la Brasa),26,Extra Virgin Olive Oil,Octopus,Octopus vulgaris,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,159,5.6,No,Yes,No,No,No,No,No,No,No,None,1,500,22,,,
Güeyu Mar Chargrilled Razor Clams,36,Olive Oil,"Clam, Razor",Ensis magnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,6/8,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,500,22,,,
Güeyu Mar Chargrilled Red Tuna Dark Loins (Lomo Negro de Atún),38,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,340,15,,,
Güeyu Mar Chargrilled Red Tuna Neck (Morillo de Atún),66,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,340,15,,,
Güeyu Mar Chargrilled Red Tuna Ventresca,48,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150,5.3,No,Yes,No,No,No,No,No,No,No,None,1,340,15,,,
Güeyu Mar Chargrilled Red Tuna White Loin (Lomo Blanco de Atún),38,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,340,15,,,
Güeyu Mar Chargrilled Sardine Loins (Lomos de Sardinas),23,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,None,No,No,Unstated,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,840,36,,,
Güeyu Mar Chargrilled Sardine Loins in Escabeche (Lomos en Escabeche),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Escabeche,No,No,Unstated,150,5.29,No,Yes,No,No,No,No,No,No,No,None,?,?,?,,,
Güeyu Mar Chargrilled Sardine Pâté,15,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68,2.4,No,Yes,No,No,No,No,No,No,No,None,4,750,33,,,
Güeyu Mar Chargrilled Sardine Tails,20,Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,None,No,No,6,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,840,36,,,
Güeyu Mar Chargrilled Sardine Tails in Escabeche (Colas en Escabeche),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Escabeche,No,No,6,150,5.29,No,Yes,No,No,No,No,No,No,No,None,1,760,33,,,
Güeyu Mar Chargrilled Sardine Tails in Spicy Escabeche (Colas en Escabeche Picante),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Spiced/Spicy Escabeche,No,No,Unstated,150,5.3,No,Yes,No,No,Yes,No,No,No,No,None,1,760,33,,,
Güeyu Mar Chargrilled Small Mussels 20-24 (Mejillones a la Brasa),20,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Güeyu Mar,Yes,No,Escabeche,NA,NA,20/24,150,5.5,No,Yes,No,No,No,No,No,No,No,None,1,540,24,,,
Güeyu Mar Chargrilled Spicy Cockles,44,Olive Oil,Cockles,Cerastoderma edule,Spain,Güeyu Mar,Yes,No,Spiced/Spicy,NA,NA,50/80,150,5.29,No,Yes,No,No,Yes,No,No,No,No,None,1,50,2,,,
Güeyu Mar Squid (Calamari) from Another Planet,21,None,Squid,Loligo vulgaris,Spain,Güeyu Mar,Yes,No,Ink,NA,NA,NA,170,6,No,Yes,No,No,No,No,No,No,No,None,1,500,3,?,,
Gulf of Maine Conservas Line Caught Bluefin Tuna in Olive Oil,22,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,USA,Gulf of Maine Conservas,Yes,No,None,NA,NA,NA,170,6,No,No,No,No,No,No,No,No,No,None,2,45,2,,,
Gulf of Maine Conservas Smoked Eel in Olive Oil,40,Olive Oil,Eel,Anguilla rostra,USA,Gulf of Maine Conservas,Yes,No,None,Yes,Yes,NA,170,6,Yes,No,No,No,No,No,No,No,No,None,1,90,4,,,
Gulf of Maine Conservas Tinkers (Atlantic Mackerel),16,Extra Virgin Olive Oil,Mackerel,Scomber scombrus,USA,Gulf of Maine Conservas,Yes,No,None,Yes,No,Unstated,170,6,No,No,No,No,No,No,No,No,No,None,2,100,4,,,
Hagoromo Broiled and Seasoned Saury (Sanma),4.5,Soy Sauce,Saury,Cololabis saira,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,Yes,No,No,No,No,No,Yes,No,None,1,410,18,,,
Hagoromo Mackerel in Miso,4.5,Miso,Mackerel,?,Japan,Hagoromo,Yes,Yes,Miso,No,No,Unstated,160,5.64,No,No,No,No,No,No,No,No,No,None,1,620,27,,,
Hagoromo Mackerel in Soy Sauce (Shoyu),4.5,Soy Sauce,Mackerel,?,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,160,5.64,No,No,No,No,No,No,No,Yes,No,None,1,270,12,,,
Hagoromo Sardines in Soy Sauce (Iwashi de Kenko),4.5,Soy Sauce,Sardines,Sardinops melanostictus,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,No,No,No,No,No,No,Yes,No,None,1,730,32,,,
Hagoromo Saury (Sanma) in Soy Sauce (Shoyu),4.5,Soy Sauce,Saury,Cololabis saira,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,No,No,No,No,No,No,Yes,No,None,1,800,32,,,
Husmor Fish Balls in Brine,14.5,Brine,"Haddock, pollack, great silver smelt, pacific whiting, saithe",,Norway,Husmor,Yes,No,None,NA,NA,Unstated,800,28,No,No,No,No,No,No,Yes,No,No,None,4,600,25,,,
"IASA Anchovy Fillets in Olive Oil, glass jar",14,Olive Oil,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,None,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
IASA Anchovy Paste,5.5,Olive Oil,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,None,NA,NA,NA,55,1.94,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
IASA Branzino Grilled Sea Bass in Olive Oil,11.5,Olive Oil,Sea Bass (Branzino),Dicentrarchus labrax,Italy,IASA,Yes,No,None,Yes,Yes,Unstated,145,5.11,No,Yes,No,No,No,No,No,No,No,None,1,260,11,,,
IASA Colatura di Alici di Cetara Anchovy Extract,26,Water,Anhovy,Engraulis encrasicolus,Italy,IASA,Yes,No,None,NA,NA,NA,100ml,1.4,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
IASA Mediterranean Dorade in Water,15,Water,Dorade (Sea Bream),Sparus aurata,Italy,IASA,Yes,No,None,Yes,Yes,Unstated,145,5.11,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
"IASA Spicy Anchovies in Olive Oil, glass jar",15,Olive OIl,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,Spiced/Spicy Tomato,No,No,Unstated,200,7.05,No,No,No,No,Yes,Yes,No,No,No,None,?,?,?,,,
Jacques Gonidec Sardines in Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,Yes,None,2,280,10,,,
Jacques Gonidec Sardines in Organic EVOO and Organic Onion Sauce,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,"Onion, lemon, cloves",No,No,Unstated,115,4,No,No,Yes,No,No,No,No,No,Yes,None,2,329,15,,,
Jacques Gonidec Sardines in Organic EVOO with Organic Hot Pepper,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,Yes,No,No,No,Yes,None,2,280,10,,,
Jacques Gonidec Sardines in Organic Extra Virgin Olive Oil with Organic Lemon,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,Lemon,No,No,Unstated,115,4,No,No,Yes,No,No,No,No,No,Yes,None,2,280,10,,,
Jacques Gonidec Sardines with Organic Basil and Organic Thyme in Organic Extra Virgin Olive Oil,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,"Basil, Thyme",No,No,Unstated,115,4,No,No,No,No,No,No,No,No,Yes,None,2,280,10,,,
Jacques Gonidec Sardines with Sundried Tomatoes and Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,Sun-Dried Tomatoes,No,No,Unstated,115,4,No,No,No,No,No,Yes,No,No,Yes,None,2,420,19,,,
José Gourmet Mackerel Fillets in Curry Sauce,14.5,Rapeseed Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,Curry Sauce,Yes,Yes,NA,120,4.2,No,No,No,No,Yes,No,No,No,No,None,,,,,,
José Gourmet Cockles in Brine 25/30,36,Water,Cockles,Cerastoderma edule,Spain,José Gourmet,Yes,No,None,NA,NA,25/30,110,3.9,No,No,No,No,No,No,No,No,No,None,1,900,22,,,
José Gourmet Codfish in Olive Oil and Garlic,13.5,Olive Oil,Cod,Gadus morhua,Portugal,José Gourmet,Yes,No,Garlic,Yes,Yes,Unstated,120,4,No,No,No,Yes,No,No,No,No,No,None,1,1260,25,,,
José Gourmet Fried Mussels in Marinade (Escabeche) 7/10,14.5,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,José Gourmet,Yes,No,Escabeche,NA,NA,7/10,110,3.9,No,No,No,No,No,No,No,No,No,None,1,900,24,,,
José Gourmet Garfish in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Garfish,Belone belone,Portugal,José Gourmet,Yes,No,None,NA,NA,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,1,480,,,,
José Gourmet Horse Mackerel (mistranslated as Stickleback) in Escabeche,12,Olive Oil/Escabeche,Horse Mackerel,Trachurus trachurus,Spain,José Gourmet,Yes,No,Escabeche,NA,NA,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,2,372,16.3,,,
José Gourmet Mackerel Fillets in Olive Oil,12,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,None,Yes,Yes,Unstated,125,4,No,No,No,No,No,No,No,No,No,None,1,700,14,,,
José Gourmet Octopus in Olive Oil with Garlic,24,Olive Oil,Octopus,?,Spain,José Gourmet,Yes,No,Garlic,NA,NA,NA,120,4,No,No,No,Yes,No,No,No,No,No,None,1,800,15,,,
José Gourmet Razor Clams in Brine 6/8,19.5,Water,"Clam, Razor",Ensis siliqua,Spain,José Gourmet,Yes,No,None,NA,NA,6/8,110,3.9,No,No,No,No,No,No,No,No,No,None,1,420,19,,,
José Gourmet Sardines in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,450,13,,,
José Gourmet Sardines in Tomato Sauce,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,Tomato,No,No,Unstated,125,4,No,No,No,No,No,Yes,No,No,No,None,1,1030,14,,,
José Gourmet Sardines with Lemon in Olive Oil,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,Lemon,No,No,Unstated,120,4,No,No,Yes,No,No,No,No,No,No,None,1,850,16,,,
José Gourmet Small Mackerel in Olive Oil,10,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,1,600,13,,,
José Gourmet Small Sardines in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,90,3,No,No,No,No,No,No,No,No,No,None,1,900,23,,,
José Gourmet Small Sardines in Tomato Sauce,11,Olive Oil,Sardines,Sardina pilchardus,Spain,José Gourmet,Yes,Yes,"Tomato Pulp (16%), Extra Virgin Olive Oil (10%), (Onion and Garlic)(1.6%), (White Wine, Sugar, White Pepper, Paprika)(0.6%)",No,No,Unstated,90,3.2,No,No,No,Yes,No,Yes,No,No,No,None,,,,,,
José Gourmet Smoked Salmon in Extra Virgin Olive Oil,13.5,Extra Virgin Olive Oil,Salmon,Salmo salar,Portugal,José Gourmet,Yes,No,None,Yes,NA,NA,90,3.2,Yes,No,No,No,No,No,No,No,No,None,2,560,,,,
José Gourmet Smoked Sardines in Extra Virgin Olive Oil,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,1,480,12,,,
José Gourmet Smoked Small Mackerel in Olive Oil,10,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,120,4,Yes,No,No,No,No,No,No,No,No,None,1,370,22,,,
José Gourmet Smoked Small Sardines in Extra Virgin Olive Oil,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,None,No,No,Unstated,90,3,Yes,No,No,No,No,No,No,No,No,None,1,900,23,,,
José Gourmet Smoked Trout Fillets in Olive Oil,17,Olive Oil,Trout,Oncorhynchus mykiss,Portugal,José Gourmet,Yes,No,None,Yes,No,Unstated,105,3.7,Yes,No,No,No,No,No,No,No,No,None,1,600,15,,,
José Gourmet Spiced Calamari in Ragout  Sauce,14.5,Vegetable Oil,Squid,Loligo vulgaris,Spain,José Gourmet,Yes,No,Tomato,NA,NA,Unstated,120,4,No,No,No,No,Yes,Yes,No,No,No,None,1,710,16,,,
José Gourmet Spiced Octopus in Olive Oil,24,Olive OIl,Octopus,?,Spain,José Gourmet,Yes,No,Spiced/Spicy,NA,NA,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,?,900,15,,,
José Gourmet Spiced Small Mackerel in Olive Oil,10,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,Spiced/Spicy,No,No,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,1,600,13,,,
José Gourmet Spiced Small Sardines in Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,"Carrot, clove, piri-piri, cucumber, laurel, white pepper",No,No,Unstated,90,3.2,No,No,No,No,Yes,No,No,No,No,None,1,,,,,
José Gourmet Stuffed Squid in Ink,20,Sunflower Oil,Squid,Loligo vulgaris,Spain,José Gourmet,Yes,No,Ink,NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,1,1190,21.6,,,
José Gourmet Tuna Fillets in Olive Oil,14.5,Olive OIl,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,José Gourmet,Yes,No,None,NA,NA,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,1,740,15,,,
José Gourmet Ventresca of Yellowfin Tuna in Olive Oil,24,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,José Gourmet,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,1,800,17,,,
"King Oscar ""Tiny Tots"" Brisling (Sprats) Sardines in Extra Virgin Olive Oil",3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,None,No,No,12/22,106,3.75,Yes,No,No,No,No,No,No,No,No,OU,1,350,15,,,
"King Oscar Anchovies, Flat Fillets in Olive Oil",4,Olive Oil,Anchovies,,Peru,King Oscar,Yes,No,None,NA,NA,NA,56,2,No,No,No,No,No,No,No,No,No,None,2.5,870,38,,,
King Oscar Cross-Pack Sardines (Sprats) in Extra Virgin Olive Oil,4.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,None,No,No,22/38,106,3.75,Yes,No,No,No,No,No,No,No,No,OU,1,350,15,,,
King Oscar Kipper Snacks,3.75,Water,Herring,Clupea harengus,Poland and Germany,King Oscar,Yes,No,None,No,No,Unstated,100,3.54,Yes,No,No,No,No,No,No,No,No,OU/GK,1,380,17,,,
King Oscar Mackerel Fillets in Olive Oil,3.5,Olive Oil,Mackerel,Scomber scombrus,Poland,King Oscar,Yes,No,None,Yes,Yes,Unstated,115,4.05,No,No,No,No,No,No,No,No,No,OU,1,210,9,,,
King Oscar Mackerel Fillets in Olive Oil with Lemon,3.5,Olive Oil,Mackerel,Scomber scombrus,Poland,King Oscar,Yes,No,Lemon Juice,Yes,Yes,Unstated,115,4.05,No,No,Yes,No,No,No,No,No,No,OU,1,200,9,,,
King Oscar Mackerel Fillets Mediterranean Style,3.5,Olive Oil,Mackerel,Scomber scombrus,Poland,King Oscar,Yes,No,"Green Olives, Black Olives, Red Bell Pepper",Yes,Yes,Unstated,115,4.05,No,No,No,Yes,No,No,No,No,No,OU,1,300,13,,,
King Oscar Mackerel Fillets with Jalapeño Peppers,3.5,Olive Oil,Mackerel,Scomber scombrus,Poland,King Oscar,Yes,Yes,Jalapeño,Yes,Yes,Unstated,115,4.05,No,No,No,No,Yes,No,No,No,No,OU,1,210,9,,,
"King Oscar Royal Selection Sardines in Extra Virgin Olive Oil with Basil, Oregano, and Garlic",5,Extra Virgin Olive OIl,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,"Basil, Oregano, Garlic",No,No,8/22,106,3.75,Yes,No,No,Yes,No,No,No,No,No,OU,1,300,13,,,
"King Oscar Royal Selection Sardines in Extra Virgin Olive Oil with Red Bell Pepper, Garlic, Rosemary & Hot Chili",5,Extra Virgin Olive OIl,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,"Red Bell Pepper, Rosemary, Garlic, Hot Chili",No,No,8/22,106,3.75,Yes,No,No,Yes,Yes,No,No,No,No,OU,1,470,20,,,
King Oscar Royal Selection Sardines in Extra Virgin Olive Oil with Sliced Spanish Manzanilla Olives,5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,Green Olives,No,No,8/22,106,3.75,Yes,No,No,No,No,No,No,No,No,OU,1,300,13,,,
King Oscar Sardines (Sprats) in Dijon Mustard,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,Yes,Mustard,No,No,8/12,106,3.75,Yes,No,No,No,No,No,No,No,No,OU,1,580,25,,,
King Oscar Sardines (Sprats) in Extra Virgin Olive Oil,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,None,No,No,12/22,106,3.75,Yes,No,No,No,No,No,No,No,No,OU/OUP,1,350,15,,,
King Oscar Sardines (Sprats) in Extra Virgin Olive Oil with Jalapeño Peppers,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,Jalapeño,No,No,12/22,106,3.75,Yes,No,No,No,Yes,No,No,No,No,OU,1,330,14,,,
King Oscar Sardines (Sprats) in Extra Virgin Olive Oil with Lemon,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,Lemon,No,No,8/12,106,3.75,Yes,No,Yes,No,No,No,No,No,No,OU,1,330,14,,,
King Oscar Sardines (Sprats) in Extra Virgin Olive Oil with Spicy Cracked Pepper,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,"Peppercorns (Red, white, green, black)",No,No,8/12,106,3.75,Yes,No,No,No,No,No,No,No,No,OU,1,320,14,,,
"King Oscar Sardines (Sprats) in Extra Virgin Olive Oil, White Wine Vinegar and Capers",3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,"Capers, Vinegar",No,No,8/12,106,3.75,Yes,No,No,No,No,No,No,No,No,None,1,650,28,,,
