column,Definition,wave,level_of_analysis,section
Cdm2_tot4,raw score part 2 of digit memory test,4,person,child assessments,  Digit Memory test
Cdmtot2_k,digit memory standardized score (non parametric),2,person,child assessments,  Digit Memory test
Cdmtot3_k,digit memory standardized score (non parametric),3,person,child assessments,  Digit Memory test
Cdmtot4_k,digit memory standardized score (non parametric),4,person,child assessments,  Digit Memory test
CWM6complete2,=1 if completed the Woodcock-Munoz math fluency test,2,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6complete3,=1 if completed the Woodcock-Munoz math fluency test,3,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6complete4,=1 if completed the Woodcock-Munoz math fluency test,4,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6whynot2,why Woodcock-Munoz math fluency test not completed,2,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6whynot3,why Woodcock-Munoz math fluency test not completed,3,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6whynot4,why Woodcock-Munoz math fluency test not completed,4,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot2,WM6 math fluency raw score,2,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot3,WM6 math fluency raw score,3,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot4,WM6 math fluency raw score,4,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot2_k,WM6 math fluency  standardized score (non parametric),2,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot3_k,WM6 math fluency  standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM6tot4_k,WM6 math fluency  standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for math fluency
CWM18Bcomplete2,=1 if completed the Woodcock-Munoz numeric series test,2,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Bcomplete3,=1 if completed the Woodcock-Munoz numeric series test,3,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Bcomplete4,=1 if completed the Woodcock-Munoz numeric series test,4,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Bwhynot2,why numeric series test not complete, child was,2,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Bwhynot3,why numeric series test not complete, child was,3,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Bwhynot4,why numeric series test not complete, child was,4,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot2,WM18 numeric series raw score,2,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot3,WM18 numeric series raw score,3,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot4,WM18 numeric series raw score,4,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot2_k,WM18 numeric series standardized score (non parametric),2,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot3_k,WM18 numeric series standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM18Btot4_k,WM18 numeric series standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for numeric series
CWM1complete2,=1 if completed the Woodcock-Munoz for tests of letters and words,2,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1complete3,=1 if completed the Woodcock-Munoz for tests of letters and words,3,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1complete4,=1 if completed the Woodcock-Munoz for tests of letters and words,4,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1whynot2,why Woodcock-Munoz test of letters and words not completed,2,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1whynot3,why Woodcock-Munoz test of letters and words not completed,3,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1whynot4,why Woodcock-Munoz test of letters and words not completed,4,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot2,WM1 letters and words raw score,2,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot3,WM1 letters and words raw score,3,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot4,WM1 letters and words raw score,4,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot2_k,WM1 letters and words standardized score (non parametric),2,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot3_k,WM1 letters and words standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM1tot4_k,WM1 letters and words standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for letters and words
CWM20complete3,=1 if completed the Woodcock-Munoz pair cancellation test,3,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20complete4,=1 if completed the Woodcock-Munoz pair cancellation test,4,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20whynot3,why pair cancellation test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20whynot4,why pair cancellation test not completed, child was,4,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20tot3,WM20 pair cancellation raw score,3,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20tot4,WM20 pair cancellation raw score,4,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20tot3_k,WM20 pair cancellation standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM20tot4_k,WM20 pair cancellation standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for pair cancellation
CWM2complete3,=1 if completed the Woodcock-Munoz verbal comprehension test,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2complete4,=1 if completed the Woodcock-Munoz verbal comprehension test,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2whynot3,why verbal comprehension test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2whynot4,why verbal comprehension test not completed, child was,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Atot3,WM2 verbal comprehension: synonyms raw score,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Atot4,WM2 verbal comprehension: synonyms raw score,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Btot3,WM2 verbal comprehension: antonyms raw score,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Btot4,WM2 verbal comprehension: antonyms raw score,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Ctot3,WM2 verbal comprehension: verbal analogies raw score,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2Ctot4,WM2 verbal comprehension: verbal analogies raw score,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2tot3,WM2 verbal comprehension raw score,3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2tot4,WM2 verbal comprehension raw score,4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2tot3_k,WM2 verbal comprehension standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM2tot4_k,WM2 verbal comprehension standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for verbal comprehension
CWM3complete3,=1 if completed the Woodcock-Munoz spatial relations test,3,person,child assessments,  Woodcock-Muñoz test for spacial relations
CWM3whynot3,why spatial relations test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for spacial relations
CWM3tot3,WM3 spatial relations raw score,3,person,child assessments,  Woodcock-Muñoz test for spacial relations
CWM3tot3_k,WM3 spatial relations standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for spacial relations
CWM10complete3,=1 if completed the Woodcock-Munoz applied problems test,3,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10complete4,=1 if completed the Woodcock-Munoz applied problems test,4,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10whynot3,why applied problems test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10whynot4,why applied problems test not completed, child was,4,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10tot3,WM10 applied problems raw score,3,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10tot4,WM10 applied problems raw score,4,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10tot3_k,WM10 applied problems standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM10tot4_k,WM10 applied problems standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for applied problems
CWM5complete3,=1 if completed the Woodcock-Munoz calculation test,3,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5complete4,=1 if completed the Woodcock-Munoz calculation test,4,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5whynot3,why calculation test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5whynot4,why calculation test not completed, child was,4,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5tot3,WM5 calculation raw score,3,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5tot4,WM5 calculation raw score,4,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5tot3_k,WM5 calculation standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for calculation
CWM5tot4_k,WM5 calculation standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for calculation
CWM12complete3,=1 if completed the Woodcock-Munoz retrieval fluency test,3,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12complete4,=1 if completed the Woodcock-Munoz retrieval fluency test,4,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12whynot3,why retrieval fluency test not completed, child was,3,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12whynot4,why retrieval fluency test not completed, child was,4,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12tot3,WM12 retrieval fluency raw score,3,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12tot4,WM12 retrieval fluency raw score,4,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12tot3_k,WM12 retrieval fluency standardized score (non parametric),3,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
CWM12tot4_k,WM12 retrieval fluency standardized score (non parametric),4,person,child assessments,  Woodcock-Muñoz test for retrieval fluency
Crccomplete3,=1 if completed reading comprehension test,3,person,child assessments,  reading comprehension test
Crccomplete4,=1 if completed reading comprehension test,4,person,child assessments,  reading comprehension test
Crcwhynot3,why reading comprehension test not completed, child was,3,person,child assessments,  reading comprehension test
Crcwhynot4,why reading comprehension test not completed, child was,4,person,child assessments,  reading comprehension test
Crcint3,during digit memory test, child was,3,person,child assessments,  reading comprehension test
Crcint4,during digit memory test, child was,4,person,child assessments,  reading comprehension test
Crctot3,reading comprehension raw score,3,person,child assessments,  reading comprehension test
Crctot4,reading comprehension raw score,4,person,child assessments,  reading comprehension test
Crctot3_k,reading comprehension standardized score (non parametric),3,person,child assessments,  reading comprehension test
Crctot4_k,reading comprehension standardized score (non parametric),4,person,child assessments,  reading comprehension test
Mtvipraw1,Peabody Picture Vocabulary Test (TVIP)  raw score,1,person,mother assessments
Mtvip1,Peabody Picture Vocabulary Test (TVIP)  standardized score,1,person,mother assessments
MladderC1,MacArthur ladder score - community,1,person,mother assessments
MladderC2,MacArthur ladder score - community,2,person,mother assessments
MladderE1,MacArthur ladder score - Ecuador,1,person,mother assessments
MladderE2,MacArthur ladder score - Ecuador,2,person,mother assessments
Mdeptot0,depression score from CESD,0,person,mother assessments
Mcesd1,depression score from CESD,1,person,mother assessments
Mcesd2,depression score from CESD,2,person,mother assessments
Mcesd3,depression score from CESD,3,person,mother assessments
Mcesd4,depression score from CESD,4,person,mother assessments
Mlivebirths0,mother's number of live births,0,person,mother birth history
Mlivekids0,mother's number of living children,0,person,mother birth history
Mdeadkid0,=1 if mother's ever had child die,0,person,mother birth history
Mdkyrdied0,year in which child died,0,person,mother birth history
Mdkmndied0,month in which child died,0,person,mother birth history
Mdkcough0,did child have convulsive cough before died,0,person,mother birth history
Mdkbreath0,did child have difficulty breathing before they died,0,person,mother birth history
Mdk12months0,number of mother's kids born alive in last 12 months who later died,0,person,mother birth history
Msb_abort0,mother ever had an abortion of still-birth,0,person,mother birth history
Msb_abortmn0,month of last abortion of still-birth,0,person,mother birth history
Msb_abortyr0,year of last abortion or still-birth,0,person,mother birth history
Mpregnow0,=1 if mother is pregnant now,0,person,mother pregnancies
Mpregnow1,=1 if mother is pregnant now,1,person,mother pregnancies
Mpregcont0,has mother had a pregnancy control,0,person,mother pregnancies
Mpregcont1,has mother had a pregnancy control,1,person,mother pregnancies
Mpregmonths0,months mother is pregnant,0,person,mother pregnancies
Mpregmonths1,months mother is pregnant,1,person,mother pregnancies
Mhaspcard0,=1 if mother has pregnancy control card,0,person,mother pregnancies
Mpregcontnum0,how many pregnancy controls has M had,0,person,mother pregnancies
Mpregcontnum1,how many pregnancy controls has M had,1,person,mother pregnancies
MpregcontwhereR0,where did mother receive pregnancy control,0,person,mother pregnancies
Mpregcontwhere1,where did mother receive pregnancy control,1,person,mother pregnancies
Mpregcontwho0,who assisted mother in last pregnancy control,0,person,mother pregnancies
Mpregcontwho1,who assisted mother in last pregnancy control,1,person,mother pregnancies
Mpregcontpay0,=1 if mother had to pay for pregnancy control,0,person,mother pregnancies
Mpregcontpay1,=1 if mother had to pay for pregnancy control,1,person,mother pregnancies
Mpregcontcost0,how much mother had to pay for pregnancy control,0,person,mother pregnancies
Mpregcontcost1,how much mother had to pay for pregnancy control,1,person,mother pregnancies
Mpregcontmins0,minutes it takes for mother to get to pregnancy control site,0,person,mother pregnancies
Mpregcontmins1,minutes it takes for mother to get to pregnancy control site,1,person,mother pregnancies
Mpregtet0,=1 if received tetanus shot during pregnancy,0,person,mother pregnancies
Mpregtet1,=1 if received tetanus shot during pregnancy,1,person,mother pregnancies
Mpregtetnum0,number of tetanus shots received during pregnancy,0,person,mother pregnancies
Mpregtetnum1,number of tetanus shots received during pregnancy,1,person,mother pregnancies
Mpregiron0,=1 if mother received iron during pregnancy,0,person,mother pregnancies
Mpregiron1,=1 if mother received iron during pregnancy,1,person,mother pregnancies
Mpregironnum0,how many times mother received iron during pregnancy,0,person,mother pregnancies
Mpregironnum1,how many times mother received iron during pregnancy,1,person,mother pregnancies
Mpregfolic0,=1 if mother received folic acid during pregnancy,0,person,mother pregnancies
Mpregfolic1,=1 if mother received folic acid during pregnancy,1,person,mother pregnancies
Mpregfolicnum0,how many times mother received folic acid during pregnancy,0,person,mother pregnancies
Mpregfolicnum1,how many times mother received folic acid during pregnancy,1,person,mother pregnancies
Mpregvita0,=1 if mother received Vitamin A during pregnancy,0,person,mother pregnancies
Mpregvita1,=1 if mother received Vitamin A during pregnancy,1,person,mother pregnancies
Mpregvitanum0,how many times mother received Vitamin A during pregnancy,0,person,mother pregnancies
Mpregvitanum1,how many times mother received Vitamin A during pregnancy,1,person,mother pregnancies
Mpregcomp0,=1 if during pregnancy control someone explained possible preg. complications,0,person,mother pregnancies
Mpregcomp1,=1 if during pregnancy control someone explained possible preg. complications,1,person,mother pregnancies
Mcompwhere0,=1 if anyone tell mother where to go if she has pregnancy complications,0,person,mother pregnancies
Mcompwhere1,=1 if anyone tell mother where to go if she has pregnancy complications,1,person,mother pregnancies
Mmatprog0,=1 if mother knows about free Maternity Program,0,person,mother pregnancies
Mcon01dd0,check 1- day,0,person,mother perinatal card
Mcon01mm0,check 1- month,0,person,mother perinatal card
Mcon01yy0,check 1- year,0,person,mother perinatal card
Mcon01kg0,check 1- weight in kg,0,person,mother perinatal card
Mcon01wp0 ,check 1 - weeks pregnant,0,person,mother perinatal card
Mprenatal0,=1 if mother prenatal care last pregnancy,0,person,mother last pregnancy (youngest child)
Mprenatal1,=1 if mother prenatal care last pregnancy,1,person,mother last pregnancy (youngest child)
Mtetanus0,=1 if mother tetanus shot last pregnancy,0,person,mother last pregnancy (youngest child)
Mtetanus1,=1 if mother tetanus shot last pregnancy,1,person,mother last pregnancy (youngest child)
MbrthplaceR0,where youngest child born,0,person,mother last pregnancy (youngest child)
Mbrthplace1,where youngest child born,1,person,mother last pregnancy (youngest child)
Mwhyhome0,why gave birth at home,0,person,mother last pregnancy (youngest child)
Mwhyhome1,why gave birth at home,1,person,mother last pregnancy (youngest child)
Mbrthasst0,who assisted in delivery,0,person,mother last pregnancy (youngest child)
Mbrthasst1,who assisted in delivery,1,person,mother last pregnancy (youngest child)
Mpostnatal0,=1 if mother had checkup after delivery,0,person,mother last pregnancy (youngest child)
Mpostnatal1,=1 if mother had checkup after delivery,1,person,mother last pregnancy (youngest child)
Mpostiron0,=1 if mother receive iron postnatally,0,person,mother last pregnancy (youngest child)
Mpostiron1,=1 if mother receive iron postnatally,1,person,mother last pregnancy (youngest child)
Mnumiron0,number of iron treatments postnatally,0,person,mother last pregnancy (youngest child)
Mnumiron1,number of iron treatments postnatally,1,person,mother last pregnancy (youngest child)
MpostvitA0,=1 if mother receive vit A postnatally,0,person,mother last pregnancy (youngest child)
MpostvitA1,=1 if mother receive vit A postnatally,1,person,mother last pregnancy (youngest child)
MnumvitA0,number of vit A treatments postnatally,0,person,mother last pregnancy (youngest child)
MnumvitA1,number of vit A treatments postnatally,1,person,mother last pregnancy (youngest child)
Mbfinfo0,=1 if mother receive any breast-feeding info before last child was born,0,person,mother last pregnancy (youngest child)
Mbfinfo1,=1 if mother receive any breast-feeding info before last child was born,1,person,mother last pregnancy (youngest child)
MbfinfowhereR0,where did mother receive breast-feeding info ,0,person,mother last pregnancy (youngest child)
Mbfinfowhere1,where did mother receive breast-feeding info ,1,person,mother last pregnancy (youngest child)
Mbcuse0,=1 if mother or partner uses birth control,0,person,mother last pregnancy (youngest child)
Mbctype0,type of birth control used,0,person,mother last pregnancy (youngest child)
Mmibebida0,=1 if mother received Mi Bebida in last 3 months,0,person,mother last pregnancy (youngest child)
Mmibebida1,=1 if mother received Mi Bebida in last 3 months,1,person,mother last pregnancy (youngest child)
Mmibebidanum0,number of times mother received Mi Bebida in last 3 months,0,person,mother last pregnancy (youngest child)
Mmibebidanum1,number of times mother received Mi Bebida in last 3 months,1,person,mother last pregnancy (youngest child)
Mhstat0,mother's health status,0,person,mother health
Mhstat1,mother's health status,1,person,mother health
Mhstat2,mother's health status,2,person,mother health
Mnsickdays0,days last month mother is unable to do daily activities,0,person,mother health
Mnsickdays1,days last month mother is unable to do daily activities,1,person,mother health
Mnbeddays0,mother's bed days last month,0,person,mother health
Mnbeddays1,mother's bed days last month,1,person,mother health
Mvigact0,mother can do vigrous activities (3-point),0,person,mother health
Mvigact1,mother can do vigrous activities (3-point),1,person,mother health
Mpain0,mother how much pain in last month,0,person,mother health
Mpain1,mother how much pain in last month,1,person,mother health
Mmammogram0,=1 if mother mother had mammogram,0,person,mother health
Mmammwhynot0,why hasn't mother ever had mammogram,0,person,mother health
MPAPtest0,=1 if mother ever had Pap test,0,person,mother health
MPAPday0,day of last Pap test,0,person,mother health
MPAPmonth0,month of last Pap test,0,person,mother health
MPAPyear0,year of last Pap test,0,person,mother health
MPAPresults0,=1 if mother get to know results of Pap test,0,person,mother health
MPAPwhere0,where did mother get last Pap test,0,person,mother health
Manycough0,=1 if mother cough in last month,0,person,mother health
Manycough1,=1 if mother cough in last month,1,person,mother health
Mbldcough0,=1 if mother cough w/ blood last month,0,person,mother health
Mdrycough0,=1 if mother dry cough in last month,0,person,mother health
Mwetcough0,=1 if mother cough w/ phlegm in last month,0,person,mother health
Manydiarr0,=1 if mother diarrhea in last month,0,person,mother health
Manydiarr1,=1 if mother diarrhea in last month,1,person,mother health
Mblddiarr0,=1 if mother bloody diarrhea in last month,0,person,mother health
Mliqdiarr0,=1 if mother liquid diarrhea last month,0,person,mother health
Mmucdiarr0,=1 if mother diarrhea w/ mucus in last month,0,person,mother health
Mheadache0,=1 if mother headache last month,0,person,mother health
Mheadache1,=1 if mother headache last month,1,person,mother health
Mjointpain0,=1 if mother joint pain last month,0,person,mother health
Mjointpain1,=1 if mother joint pain last month,1,person,mother health
Mskininf0,=1 if mother skin infection last month,0,person,mother health
Mskininf1,=1 if mother skin infection last month,1,person,mother health
Mstomache0,=1 if mother stomache ache last month,0,person,mother health
Mstomache1,=1 if mother stomache ache last month,1,person,mother health
Mtoothache0,=1 if mother toothache last month,0,person,mother health
Mtoothache1,=1 if mother toothache last month,1,person,mother health
Mvomit0,=1 if mother nausea/vomiting last month,0,person,mother health
Mvomit1,=1 if mother nausea/vomiting last month,1,person,mother health
Meyeinf0,=1 if mother eye infection last month,0,person,mother health
Meyeinf1,=1 if mother eye infection last month,1,person,mother health
Mfastresp0,=1 if mother rapid breathing last month,0,person,mother health
Mfastresp1,=1 if mother rapid breathing last month,1,person,mother health
Mfever0,=1 if mother fever last month,0,person,mother health
Mfever1,=1 if mother fever last month,1,person,mother health
Mrunnynose0,=1 if mother runny nose last month,0,person,mother health
Mrunnynose1,=1 if mother runny nose last month,1,person,mother health
Mhospeps0,=1 mother hospital episode last year,0,person,mother health
Mhospeps1,=1 mother hospital episode last year,1,person,mother health
Mhospdays0,number of days mother in Hosp last year,0,person,mother health
Mhospdays1,number of days mother in Hosp last year,1,person,mother health
Madjhemo0,mother's adjusted hemoglobin,0,person,mother health
Madjhemo1,mother's adjusted hemoglobin,1,person,mother health
Madjhemo2,mother's adjusted hemoglobin,2,person,mother health
Manemic0,=1 if mother is anemic,0,person,mother health
Manemic1,=1 if mother is anemic,1,person,mother health
Manemic2,=1 if mother is anemic,2,person,mother health
Mhlthins0,mother's health insurance,0,person,mother health
Mhlthins1,mother's health insurance,1,person,mother health
Mhlthins2,mother's health insurance,2,person,mother health
Mhlthvisits0,mother's health visits in last month ,0,person,mother health
Mhlthvisits1,mother's health visits in last month ,1,person,mother health
Mhlthwhy0,mother's reason for health visit,0,person,mother health
Mhlthwhy1,mother's reason for health visit,1,person,mother health
Millmed0,medical treatment for illness,0,person,mother health
Millmed1,medical treatment for illness,1,person,mother health
Mheight1,mother's height (cm) ,1,person,mother anthropometrics
Mheight2,mother's height (cm) ,2,person,mother anthropometrics
Mbmi1,mother's BMI,1,person,mother anthropometrics
Mbmi2,mother's BMI,2,person,mother anthropometrics
Mdv_answerwhyn0,why mother didn't answer domestic violence questions,0,person,mother domestic violence
Mdv_answerwhyn1,why mother didn't answer domestic violence questions,1,person,mother domestic violence
Mlivehusb0,=1 if mother lives with husband or partner,0,person,mother domestic violence
Mlivehusb1,=1 if mother lives with husband or partner,1,person,mother domestic violence
Mdv_answer0,=1 if mother is willing to answer dom. violence questions,0,person,mother domestic violence
Mdv_answer1,=1 if mother is willing to answer dom. violence questions,1,person,mother domestic violence
Mdv_freetime0,husband spends free time with mother,0,person,mother domestic violence
Mdv_freetime1,husband spends free time with mother,1,person,mother domestic violence
Mdv_affection0,husband is affectionate,0,person,mother domestic violence
Mdv_affection1,husband is affectionate,1,person,mother domestic violence
Mdv_ignore0,husband ignores mother,0,person,mother domestic violence
Mdv_ignore1,husband ignores mother,1,person,mother domestic violence
Mdv_nostudy0,husband doesn't allow mother to study or work,0,person,mother domestic violence
Mdv_nostudy1,husband doesn't allow mother to study or work,1,person,mother domestic violence
Mdv_yell0,husband yells at mother,0,person,mother domestic violence
Mdv_yell1,husband yells at mother,1,person,mother domestic violence
Mdv_worthless0,husband tells mother she is worthless, or similar,0,person,mother domestic violence
Mdv_worthless1,husband tells mother she is worthless, or similar,1,person,mother domestic violence
Mdv_nofriends0,husband doesn't allow mother to see friends/family,0,person,mother domestic violence
Mdv_nofriends1,husband doesn't allow mother to see friends/family,1,person,mother domestic violence
Mdv_leave0,husband tells mother 'tired of you, thinking of leaving you,0,person,mother domestic violence
Mdv_leave1,husband tells mother 'tired of you, thinking of leaving you,1,person,mother domestic violence
Mdv_takekids0,husband says he'll take kids if mother leaves,0,person,mother domestic violence
Mdv_takekids1,husband says he'll take kids if mother leaves,1,person,mother domestic violence
Mdv_beat0,=1 if husband or partner pushed, beaten or attacked mother physically,0,person,mother domestic violence
Mdv_beat1,=1 if husband or partner pushed, beaten or attacked mother physically,1,person,mother domestic violence
Mdv_beatoften0,how often does husband/partner attack mother physically,0,person,mother domestic violence
Mdv_beatoften1,how often does husband/partner attack mother physically,1,person,mother domestic violence
Mdv_hdrinks0,husband/partner gets drunk,0,person,mother domestic violence
Mdv_hdrinks1,husband/partner gets drunk,1,person,mother domestic violence
Mdv_help0,=1 if mother asked for help when husband mistreated her,0,person,mother domestic violence
Mdv_help1,=1 if mother asked for help when husband mistreated her,1,person,mother domestic violence
Mdv_helpwho0,who did mother ask for help after being mistreated by husband,0,person,mother domestic violence
Mdv_helpwho1,who did mother ask for help after being mistreated by husband,1,person,mother domestic violence
Mdv_hcounsel0,after mistreated, mother sought help at town counsel for the defense,0,person,mother domestic violence
Mdv_hcounsel1,after mistreated, mother sought help at town counsel for the defense,1,person,mother domestic violence
Mdv_hcourt0,after mistreated, mother sought help at court,0,person,mother domestic violence
Mdv_hcourt1,after mistreated, mother sought help at court,1,person,mother domestic violence
Mdv_hhunity0,after mistreated, mother sought help at Health Unity,0,person,mother domestic violence
Mdv_hhunity1,after mistreated, mother sought help at Health Unity,1,person,mother domestic violence
Mdv_hjudpol0,after mistreated, mother sought help at judicial police,0,person,mother domestic violence
Mdv_hjudpol1,after mistreated, mother sought help at judicial police,1,person,mother domestic violence
Mdv_hother0,after mistreated, mother sought help at other institution,0,person,mother domestic violence
Mdv_hother1,after mistreated, mother sought help at other institution,1,person,mother domestic violence
Mdv_hpolice0,after mistreated, mother sought help at police station,0,person,mother domestic violence
Mdv_hpolice1,after mistreated, mother sought help at police station,1,person,mother domestic violence
Mdv_hprivorg0,after mistreated, mother sought help at private org.,0,person,mother domestic violence
Mdv_hprivorg1,after mistreated, mother sought help at private org.,1,person,mother domestic violence
Mdv_hwomoff0,after mistreated, mother sought help at women's office,0,person,mother domestic violence
Mdv_hwomoff1,after mistreated, mother sought help at women's office,1,person,mother domestic violence
Mdv_hnoinst0,after mistreated, mother never sought help at any institution,0,person,mother domestic violence
Mdv_hnoinst1,after mistreated, mother never sought help at any institution,1,person,mother domestic violence
Mdv_nhbadexp0,=1 if didn't seek help b/c had a bad experience when reported it,0,person,mother domestic violence
Mdv_nhbadexp1,=1 if didn't seek help b/c had a bad experience when reported it,1,person,mother domestic violence
Mdv_nhdeserve0,=1 if didn't seek help b/c deserves to be mistreated,0,person,mother domestic violence
Mdv_nhdeserve1,=1 if didn't seek help b/c deserves to be mistreated,1,person,mother domestic violence
Mdv_nhdidntknow0,=1 if didn't seek help b/c didn't know where to go,0,person,mother domestic violence
Mdv_nhdidntknow1,=1 if didn't seek help b/c didn't know where to go,1,person,mother domestic violence
Mdv_nhdivorce0,=1 if didn't seek help b/c afraid of divorce/separation,0,person,mother domestic violence
Mdv_nhdivorce1,=1 if didn't seek help b/c afraid of divorce/separation,1,person,mother domestic violence
Mdv_nhembarrassed0,=1 if didn't seek help b/c embarrassed,0,person,mother domestic violence
Mdv_nhembarrassed1,=1 if didn't seek help b/c embarrassed,1,person,mother domestic violence
Mdv_nhhandle0,=1 if didn't seek help b/c can handle it on own,0,person,mother domestic violence
Mdv_nhhandle1,=1 if didn't seek help b/c can handle it on own,1,person,mother domestic violence
Mdv_nhharmless0,=1 if didn't seek help b/c damage was harmless,0,person,mother domestic violence
Mdv_nhharmless1,=1 if didn't seek help b/c damage was harmless,1,person,mother domestic violence
Mdv_nhhit0,=1 if didn't seek help b/c afraid husband would hit M or kids,0,person,mother domestic violence
Mdv_nhhit1,=1 if didn't seek help b/c afraid husband would hit M or kids,1,person,mother domestic violence
Mdv_nhjustice0,=1 if didn't seek help b/c doesn't believe in justice,0,person,mother domestic violence
Mdv_nhjustice1,=1 if didn't seek help b/c doesn't believe in justice,1,person,mother domestic violence
Mdv_nhnevagain0,=1 if didn't seek help b/c will never happen again,0,person,mother domestic violence
Mdv_nhnevagain1,=1 if didn't seek help b/c will never happen again,1,person,mother domestic violence
