anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,tratamiento,q18,q19,q20,q21,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d
1962,50 a 64 años,México,Michoacán,Pacífico,Morelia,Femenino,Casado(a) / Unión Civil,3,Sí,Prefiere no contestar,A cargo de las tareas del hogar/ crianza de los hijos,2,Sí,No,4,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
2003,18 a 29 años,México,México,Centro,Lerma,Femenino,Soltero(a),6,No,Media completa,Estudiante,3,Sí,No sabe / Prefiere no contestar,5,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Informativo,Entre 20 y 30,Entre 10 y 20,En desacuerdo,Una organización que protege el medio ambiente.,Bueno,Depende,Bueno,De acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1956,Más de 65 años,México,Distrito Federal,Centro,Cdmx,Femenino,Separado(a) / Divorciado(a) / Viudo(a),2,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,No,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Placebo,Más de 30,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Malo,Depende,Depende,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,,,,,,"Si, como mis vecinos",,,,
1993,18 a 29 años,México,México,Centro,Ciudad de México,Femenino,Soltero(a),2,No,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,No sabe / Prefiere no contestar,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Placebo,Más de 30,Menos de 5 personas,De acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,"Si, como mis vecinos",,,,
2001,18 a 29 años,México,Nuevo León,Norte,Monterrey,Femenino,Soltero(a),4,No,Media completa,Desempleado(a) y buscando trabajo,3,Sí,No,5,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Emotivo,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1978,30 a 49 años,México,Yucatán,Sur,Mérida,Femenino,Soltero(a),2,No,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,10 - Derecha,Entre 11.300 y 16.400,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Informativo,Entre 10 y 20,Entre 20 y 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1972,30 a 49 años,México,Distrito Federal,Centro,CDMX,Masculino,Casado(a) / Unión Civil,5,Sí,Terciaria/Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),3,No,No,5,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Los que encuentro en el curso del día en la calle"
2000,18 a 29 años,México,Distrito Federal,Centro,CDMX,Femenino,Soltero(a),6,No,Media completa,Prefiere no contestar,3,No,Sí,5,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Depende,Algo de acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1975,30 a 49 años,México,Hidalgo,Centro,Pachuca,Femenino,Casado(a) / Unión Civil,4,Sí,Básica incompleta,Desempleado(a) y buscando trabajo,2,No,No,2,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,No sabe / Prefiere no contestar,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1968,50 a 64 años,México,Querétaro,Norte,Querétaro,Femenino,Casado(a) / Unión Civil,2,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",3,No,No,4,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
2000,18 a 29 años,México,Baja California,Pacífico,Tijuana,Masculino,Soltero(a),4,No,Básica completa,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,1,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Más de 30,En desacuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1975,30 a 49 años,México,Puebla,Centro,Huejotzingo,Femenino,Soltero(a),6,No,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,4,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Placebo,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que protege el medio ambiente.,Malo,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1957,50 a 64 años,México,Veracruz,Sur,Cordoba,Femenino,Soltero(a),1,No,Media incompleta,Jubilado(a) / pensionado(a),1 - Más pobres,No,No,No sabe / Prefiere no contestar,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Informativo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Depende,Bueno,No sabe / Prefiere no contestar,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1974,30 a 49 años,México,Tabasco,Sur,Tabasco,Femenino,Casado(a) / Unión Civil,3,Sí,Básica completa,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,No sabe / Prefiere no contestar,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,De acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1970,50 a 64 años,México,Michoacán,Pacífico,Lázaro Cárdenas,Femenino,Soltero(a),1,Sí,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,5,Entre 0 y 7.300,Los tendría como vecinos,,,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1964,50 a 64 años,México,Guanajuato,Norte,Pénjamo,Masculino,Soltero(a),4,No,Media incompleta,Desempleado(a) y buscando trabajo,3,Sí,No,5,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,Entre 20 y 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1988,30 a 49 años,México,Distrito Federal,Centro,Cdmx,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,5,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1970,50 a 64 años,México,México,Centro,Cuautitlan Izcalli,Femenino,Casado(a) / Unión Civil,4,Sí,Terciaria/Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),3,No,No,5,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Entre 20 y 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Depende,De acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1999,18 a 29 años,México,México,Centro,Querétaro,Femenino,Casado(a) / Unión Civil,5,Sí,Media completa,Desempleado(a) y buscando trabajo,2,No,No,7,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1967,50 a 64 años,México,San Luis Potosí,Norte,San Luís Potosi,Femenino,Casado(a) / Unión Civil,5,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,Sí,No,10 - Derecha,Entre 11.300 y 16.400,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Placebo,Entre 5 y 10,Más de 30,En desacuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1972,30 a 49 años,México,Sinaloa,Pacífico,Culiacan,Femenino,Casado(a) / Unión Civil,4,Sí,Básica incompleta,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,10 - Derecha,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Más de 30,Más de 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Depende,Depende,De acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi","Si, como mis empleadores","Si, como mi pareja","Si, como mis vecinos",,,,
1962,50 a 64 años,México,Sinaloa,Pacífico,Culiacán,Femenino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,10 - Derecha,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Emotivo,No sabe / Prefiere no contestar,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,,Prefiere no contestar,
1993,18 a 29 años,México,Oaxaca,Sur,Unión Hidalgo,Femenino,Casado(a) / Unión Civil,6,Sí,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,0 - Izquierda,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1999,18 a 29 años,México,Puebla,Centro,Puebla,Masculino,Soltero(a),3,No,Terciaria/Universitaria completa o más,Estudiante,3,No,Sí,No sabe / Prefiere no contestar,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Informativo,Entre 20 y 30,No sabe / Prefiere no contestar,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
2002,18 a 29 años,México,Baja California,Pacífico,Ensenada,Masculino,Soltero(a),4,No,Terciaria/Universitaria incompleta,Estudiante,3,No,No,5,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Entre 10 y 20,En desacuerdo,Una organización que protege el medio ambiente.,Bueno,Depende,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,
1958,50 a 64 años,México,Durango,Norte,Durango.Dgo,Femenino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Media incompleta,Empleado(a) de tiempo parcial (menos de 8 horas por día),2,Sí,No,4,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Placebo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1996,18 a 29 años,México,México,Centro,Toluca,Femenino,Casado(a) / Unión Civil,6,Sí,Terciaria/Universitaria completa o más,No trabaja ni busca trabajo,2,No,No,6,Entre 0 y 7.300,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Más de 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Bueno,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1992,18 a 29 años,México,Colima,Pacífico,Colima,Femenino,Soltero(a),3,No,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,2,Sí,No,5,Entre 0 y 7.300,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Más de 30,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1959,50 a 64 años,México,Chihuahua,Norte,Chihuahua,Femenino,Soltero(a),3,Sí,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,No sabe / Prefiere no contestar,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,,,,,,,,,Prefiere no contestar,
1983,30 a 49 años,México,Nuevo León,Norte,Cienega de Flores nuevo león,Masculino,Casado(a) / Unión Civil,5,Sí,Básica completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,4,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,Entre 20 y 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1980,30 a 49 años,México,México,Centro,López Mateos,Masculino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Básica completa,"Negocio propio, independiente o por cuenta propia",2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
2002,18 a 29 años,México,Veracruz,Sur,Coatzacoalcos,Femenino,Soltero(a),4,No,Media completa,No trabaja ni busca trabajo,3,No,No,No sabe / Prefiere no contestar,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,Informativo,Entre 20 y 30,Entre 5 y 10,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Bueno,Bueno,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1995,18 a 29 años,México,Tlaxcala,Centro,Tlaxcala,Masculino,Soltero(a),5,No,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,2,No,No,6,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,En desacuerdo,En desacuerdo,Circunstancias fuera de su control,Placebo,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,No sabe / Prefiere no contestar,Bueno,Bueno,Depende,No sabe / Prefiere no contestar,Algo en desacuerdo,De acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1961,50 a 64 años,México,Hidalgo,Centro,Tizayuca,Femenino,Casado(a) / Unión Civil,3,Sí,Media incompleta,Jubilado(a) / pensionado(a),3,No,No,7,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Depende,De acuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
