anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,q18,q19,q32,q20,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d,tratamiento
1990,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Norte,Femenino,Soltero(a),4,Sí,Secundaria completa,Estudiante,3,Sí,No,4,Entre 0 y 20.000,Los tendría como vecinos,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Emotivo_H
2000,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo este,Masculino,Casado(a) / Unión Libre,2,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,5,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
1975,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo domingo,Femenino,Soltero(a),4,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,7,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,,,"Si, como mis empleados o prestadores de servicios para mi",,,,,,,,Emotivo_H
1992,18 a 29 años,Republica Dominicana,Santiago,Zona 4,Santiago oeste,Masculino,Casado(a) / Unión Libre,6,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,5,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Menos de 5,Más de 30,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,"Si, como mi pareja",,,,,,Emotivo_H
2001,18 a 29 años,Republica Dominicana,San Cristóbal,Zona 2,Villa Altagracia,Femenino,Soltero(a),3,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,5,Entre 0 y 20.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Depende,Algo en desacuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,"Si, como mis amigos",,,,,,,,,,Emotivo_H
1983,30 a 49 años,Republica Dominicana,La Vega,Zona 4,La vega,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),1 - Más pobres,Sí,No,0 - Izquierda,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
2001,18 a 29 años,Republica Dominicana,San Pedro de Macorís,Zona 3,San pedro de macoris,Masculino,Soltero(a),4,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,3,Entre 38.000 y 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
2002,18 a 29 años,Republica Dominicana,Valverde,Zona 4,Valverde mao,Femenino,Soltero(a),7,No,Secundaria completa,Desempleado(a) y buscando trabajo,1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1985,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Soltero(a),3,No,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Entre 20 y 30,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1991,30 a 49 años,Republica Dominicana,Espaillat,Zona 4,Moca,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,5,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1998,18 a 29 años,Republica Dominicana,Hato Mayor,Zona 3,Santo domingo,Femenino,Soltero(a),3,No,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
1992,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo oeste los alcarrizos,Masculino,Casado(a) / Unión Libre,2,No,Secundaria incompleta,"Negocio propio, independiente o por cuenta propia",2,Sí,No,0 - Izquierda,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos","Si, otro",,,"[Si, otro ]Tengo muchos amigos migrantes de haitianos y de otros países vecinos y son personas muy sabemos que todo los lugares hay gente malas y buenas pero por eso no se debe de discriminar a los migrantes sin importar de donde vengan tengo muchos amigos haitianos que se portan mejor que los mismos dominicanos.",Emotivo_H
2000,18 a 29 años,Republica Dominicana,La Altagracia,Zona 3,Bavaro,Prefiere no contestar,Soltero(a),7,No,Prefiere no contestar,Desempleado(a) y buscando trabajo,2,Sí,No,6,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,No sabe / Prefiere no contestar,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1978,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Casado(a) / Unión Libre,7,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),4,No,No,8,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 20 y 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Depende,Depende,Algo de acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,,,,,,,,,Prefiere no contestar,,Emotivo_H
1986,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo este,Masculino,Casado(a) / Unión Libre,4,Sí,Primaria incompleta,Desempleado(a) y buscando trabajo,2,No,Sí,5,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
2003,18 a 29 años,Republica Dominicana,Independencia,Zona 2,Santo Domingo,Masculino,Soltero(a),4,No,Secundaria completa,Estudiante,3,No sabe / Prefiere no contestar,No,2,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
1996,18 a 29 años,Republica Dominicana,Santiago,Zona 4,Santiago,Femenino,Casado(a) / Unión Libre,2,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,5,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Emotivo_H
1990,30 a 49 años,Republica Dominicana,Monte Plata,Zona 3,monte plata,Femenino,Soltero(a),8,No,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",2,Sí,No,1,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,Depende,Depende,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,En desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,,,,,,,,Ninguna relación,,,Emotivo_H
1992,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo oeste,Femenino,Soltero(a),1,No,Universitaria incompleta,Prefiere no contestar,3,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,Depende,Depende,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1989,30 a 49 años,Republica Dominicana,Peravia,Zona 2,Bani,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No,Sí,7,Entre 0 y 20.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Hermano",Emotivo_H
1982,30 a 49 años,Republica Dominicana,San Cristóbal,Zona 2,San Cristóbal,Femenino,Soltero(a),3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,9,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,,,,,,,,Ninguna relación,,,Emotivo_H
1995,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Sabana perdida,Femenino,Soltero(a),3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,No sabe / Prefiere no contestar,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Falta de esfuerzo por su parte,Entre 10 y 20,Menos de 5 personas,Algo en desacuerdo,No donaría a nadie.,Depende,Depende,Depende,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Conocidos",Emotivo_H
1998,18 a 29 años,Republica Dominicana,Espaillat,Zona 4,Moca,Femenino,Soltero(a),4,No,Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),3,No,No,No sabe / Prefiere no contestar,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Menos de 5 personas,En desacuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
2001,18 a 29 años,Republica Dominicana,Puerto Plata,Zona 4,Puerto Plata,Femenino,Soltero(a),5,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,3,Sí,No,10 - Derecha,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1988,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo domingo,Masculino,Soltero(a),1,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 5 y 10,Algo en desacuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
2002,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Zona universitaria,Femenino,Soltero(a),5,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,3,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Depende,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Emotivo_H
1995,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,En la capital,Femenino,Soltero(a),4,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,1,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Más de 30,Más de 30,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Depende,Depende,Algo de acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1992,18 a 29 años,Republica Dominicana,María Trinidad Sánchez,Zona 3,Nagua,Masculino,Casado(a) / Unión Libre,3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,10 - Derecha,Entre 0 y 20.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
1986,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Este.,Femenino,Casado(a) / Unión Libre,5,Sí,Universitaria completa o más,Prefiere no contestar,2,Sí,No,10 - Derecha,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Emotivo_H
1990,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Soltero(a),6,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,5,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,,Emotivo_H
2003,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santa domingo,Femenino,Soltero(a),1,No,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 20 y 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Emotivo_H
